aa: aa
abb: abb
abstract: abstract
acceptable: acceptable
access: access
accessible: accessible
accordance: accordance
act: act
ad: ad
add: add
additional: additional
address: address
adequate: adequate
advantage: advantage
ae: ae
aer: aer
afterwards: afterwards
agreement: agreement
aid: aid
aim: aim
ait: ait
al: al
alert: alert
allow: allow
almost: almost
also: also
always: always
ami: ami
annihilation: annihilation
ape: ape
appearance: appearance
applicable: applicable
apply: applied
archive: archive
around: around
article: article
associate: associated
assume: assume assumed
attention: attention
attribution: attribution
author: author
availability: availability
away: away
base: based
become: become
becomes: becomes
behavior: behavior
blockade: blockade
blue: blue
board: board
boron: boron
bose: bose
bottom: bottom
bound: bound
broken: broken
building: building
candidate: candidate
carrier: carrier
case: case
ce: ce
cell: cell
certain: certain
change: change
characteristic: characteristic
charge: charge
checked: checked
chemical: chemical
cite: cite
class: classes
clear: clear
clearly: clearly
close: close
closely: closely
coherence: coherence
coherent: coherent
cold: cold
common: commons
comparison: comparison
compatible: compatible
composite: composite
concentrate: concentrate
conclude: conclude
condensate: condensate
condensation: condensation
condense: condensed
conductance: conductance
configuration: configuration
confine: confined
confinement: confinement
connect: connect connected
consequence: consequence
consequently: consequently
contact: contact
cool: cool
cooper: cooper
copyright: copyright
correlation: correlation
correspond: corresponding
could: could
coulomb: coulomb
counterflow: counterflow
couple: couple coupled coupling
create: create
creation: creation
creative: creative
critical: critical
crystal: crystal
crystalline: crystalline
crystallization: crystallization
cubic: cubic
current: current
curve: curve
customer: customer
data: data
de: de
declare: declare
demonstrate: demonstrate
density: density
dependence: dependence
dependent: dependent
description: description
detail: detail
detection: detection
different: different
dipole: dipole
direct: direct
directly: directly
disappear: disappear
disclaimer: disclaimer
discover: discovered
discus: discuss
disk: disk
distance: distance
distinct: distinct
distribution: distribution
do: done
dominate: dominated
double: double
drag: drag
drive: drive
due: due
dwell: dwell
easily: easily
edge: edge
editorial: editorial
effect: effect
effectively: effectively
either: either
electric: electric
electron: electron
electronic: electronic
electrostatic: electrostatic
emerge: emerge
emergent: emergent
enhance: enhanced
enough: enough
entanglement: entanglement
equal: equal
equation: equation
especially: especially
ethic: ethics
even: even
every: every
exactly: exactly
exchange: exchange
excite: excite excited
exist: exist
existence: existence
expect: expect
experiment: experiment
experimental: experimental
experimentally: experimentally
exploration: exploration
explore: explore exploring
extend: extending
externally: externally
extract: extracted
extremely: extremely
fact: fact
far: far
feature: feature
feel: feel
ferromagnetic: ferromagnetic
field: field
figure: figure
file: file
finally: finally
find: find
finite: finite
first: first
fix: fixed
flow: flow
fluctuation: fluctuation
focus: focus
follow: follow
forbid: forbid
forbidden: forbidden
form: form formed
formation: formation
four: four
free: free
frequency: frequency
frequently: frequently
function: function
furthermore: furthermore
future: future
gap: gap
gas: gas
generate: generate
generation: generation
give: given
ground: ground
guideline: guideline
health: health
helical: helical
helium: helium
high: high higher
history: history
hole: hole
home: home
host: host
however: however
huge: huge
hybrid: hybrid
id: id
illuminate: illuminated
illustrate: illustrate
illustrative: illustrative
immediate: immediate
important: important
increase: increasing
indeed: indeed
index: indexing
indicator: indicator
indirect: indirect
induced: induced
instead: instead
insulate: insulated
interaction: interaction
interest: interest interesting
intermediary: intermediary
intermediate: intermediate
international: international
